MARK,MODEL,CAR_YEAR,ENGINE_POWER,AUTOMATIC,VEHICLE_ID,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,AIR_INTAKE_TEMP,SPEED,SHORT TERM FUEL TRIM BANK 1,THROTTLE_POS,TIMING_ADVANCE,FAULT,FAULT_COUNT
chevrolet,agile,2011.0,1.4,0.0,car1,80.0,33.3,1009.0,49.0,59.0,0.0,-100.0,25.0,56.9,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,80.0,32.5,1003.0,52.0,59.0,0.0,-100.0,25.0,56.5,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,80.0,32.9,995.0,51.0,59.0,0.0,-100.0,25.0,57.3,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,80.0,32.5,1004.0,51.0,60.0,0.0,-100.0,25.0,56.5,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,80.0,32.9,1005.0,49.0,60.0,0.0,-100.0,25.0,56.9,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,81.0,32.9,1019.0,50.0,60.0,0.0,-100.0,25.0,56.5,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,81.0,33.3,1002.0,49.0,61.0,0.0,-100.0,25.0,56.5,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,81.0,33.3,1001.0,50.0,61.0,0.0,-100.0,25.0,57.3,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,81.0,33.3,1004.0,52.0,61.0,0.0,-100.0,25.0,56.9,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,81.0,32.9,1010.0,52.0,62.0,0.0,-100.0,25.0,58.4,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,81.0,34.5,1008.0,49.0,62.0,0.0,-100.0,26.0,56.9,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,81.0,34.5,1005.0,50.0,62.0,0.0,-100.0,26.0,56.5,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,81.0,34.1,1004.0,51.0,63.0,0.0,-100.0,26.0,55.7,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,81.0,34.9,998.0,53.0,63.0,0.0,-100.0,26.0,56.1,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,81.0,34.9,999.0,92.0,63.0,0.0,-100.0,26.0,55.7,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,81.0,37.3,1589.0,47.0,64.0,0.0,-100.0,22.0,60.0,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,81.0,26.7,2955.0,33.0,65.0,0.0,-100.0,32.0,77.6,0,0.0
chevrolet,agile,2011.0,1.4,0.0,car1,82.0,36.9,1050.0,50.0,65.0,0.0,-100.0,26.0,53.7,0,0.0
